user_id,min(time_stamp)
219398059,2013-11-27
219398565,2013-10-03
219399577,2013-10-08
219405143,2014-10-28
219428925,2014-11-21
219438033,2013-12-20
219438539,2014-10-10
219439045,2013-11-15
219440563,2013-12-13
219448153,2014-10-03
219469911,2014-10-27
219472441,2013-10-22
219476995,2013-12-04
219480537,2013-10-24
219482055,2014-10-29
219494199,2014-11-12
219495211,2013-10-28
219501789,2013-10-18
219506849,2013-10-29
219507355,2013-10-28
219509885,2013-10-23
219516969,2014-11-14
219517475,2014-10-28
219523041,2013-11-13
219526077,2013-10-23
219527595,2014-10-30
219529113,2013-10-03
219540751,2014-12-08
219545305,2013-10-25
219556437,2013-11-19
219556943,2013-11-18
219559473,2013-12-03
219559979,2013-10-31
219561497,2014-11-28
219571617,2013-11-14
219581231,2014-11-16
219582243,2014-12-04
219590845,2013-10-25
219591351,2013-11-20
219594387,2013-11-28
219604001,2013-12-30
219604507,2013-10-25
219605013,2014-10-28
219605519,2013-11-20
219606531,2014-10-23
219627783,2013-11-08
219629807,2014-10-09
219632843,2013-11-19
219661179,2013-12-02
219662191,2013-10-01
219670287,2013-10-21
219671805,2014-11-14
219678889,2013-11-22
219682937,2014-10-21
219684455,2014-11-19
219686479,2014-12-01
219691033,2013-11-25
219712285,2014-12-12
219724935,2013-11-05
219744669,2013-11-19
219747705,2013-12-19
219751753,2014-10-15
219752259,2014-10-23
219779583,2014-10-10
219789197,2014-11-30
219793751,2013-10-02
219796281,2013-10-04
219796787,2013-12-16
219802353,2013-10-14
219817533,2014-12-18
219829171,2013-10-11
219842833,2013-11-26
219849411,2014-12-05
219851941,2013-11-14
219853965,2013-10-08
219869651,2014-10-24
219871675,2014-11-21
219872687,2013-10-09
219873193,2013-11-04
219874711,2014-11-18
219877747,2013-10-22
219882301,2013-12-03
219886349,2014-10-22
219896469,2013-10-01
219904059,2013-11-05
219906083,2014-10-16
219911143,2013-11-26
219915191,2013-11-26
219925311,2013-11-01
219933407,2013-12-16
219934419,2013-11-26
219943021,2014-10-13
219947069,2013-11-15
219953647,2013-10-18
219959213,2013-10-30
219973381,2013-12-03
219994633,2013-11-05
219997669,2013-10-31
220047763,2014-10-10
220054341,2013-10-30
220060919,2014-10-28
220061425,2013-11-18
220069521,2013-11-01
220091785,2013-11-05
220100893,2013-10-22
220101399,2013-12-04
220103423,2013-12-16
220103929,2013-12-09
220106459,2014-11-30
220106965,2014-11-27
220111013,2013-10-16
220115567,2013-10-29
220117591,2014-12-03
220120627,2013-11-27
220127205,2014-10-14
220143397,2013-10-25
220149469,2014-10-09
220151999,2014-11-06
220159083,2013-11-18
220167179,2014-10-22
220173757,2014-10-07
220182865,2013-12-03
220192985,2014-10-28
220195009,2014-12-01
220199057,2013-10-18
220201587,2014-11-24
220216261,2014-12-11
220219803,2013-11-28
220224357,2013-10-31
220229417,2013-12-17
220230429,2013-11-05
220232453,2014-11-01
220233465,2014-10-30
220234477,2013-12-03
220236501,2014-10-14
220237513,2013-12-30
220238019,2013-11-01
220243585,2013-10-11
220251681,2014-10-09
220252693,2013-12-24
220254717,2013-10-23
220260789,2013-11-25
220271921,2014-12-08
220274451,2013-11-22
220283053,2013-10-28
220285077,2013-12-02
220291655,2014-10-14
220294185,2013-12-16
220299751,2013-10-18
220301269,2013-11-27
220306329,2013-11-05
220306835,2013-11-04
220312401,2013-10-11
220328087,2014-10-09
220340737,2013-11-14
220343773,2013-10-28
220344785,2014-10-10
220348327,2014-10-21
220350351,2013-10-25
220351363,2014-12-29
220354399,2013-11-25
220367555,2014-11-06
220376663,2013-11-18
220381217,2013-10-24
220381723,2013-11-21
220383241,2014-10-28
220391337,2014-10-14
220394373,2013-11-18
220408035,2014-12-19
220408541,2013-10-25
220412589,2013-10-28
220413095,2013-11-12
220414107,2013-10-24
220418661,2014-10-01
220439407,2013-11-14
220456611,2013-10-25
220463189,2014-10-14
220463695,2013-10-17
220469767,2013-11-25
220477863,2013-11-26
220487477,2013-10-14
220488489,2014-10-02
220490513,2013-11-29
220498103,2013-12-11
220498609,2013-12-17
220499621,2013-12-19
220502657,2014-11-13
220503669,2014-11-14
220505187,2014-10-27
220510753,2014-10-20
220516825,2013-12-03
220519355,2013-12-06
220523909,2013-10-14
220527451,2013-11-21
220533017,2013-11-08
220534029,2013-12-13
220542631,2014-10-10
220547185,2013-11-15
220549209,2013-11-25
220556799,2014-10-22
220562365,2013-12-06
